Date,Open,High,Low,Close,Adj Close,Volume
10/21/2022,16331.11035,16359.04004,16137.17969,16211.12012,16211.12012,2052413100
10/24/2022,15894.75,15993.87988,15082.83984,15180.69043,15180.69043,3597357500
10/25/2022,15242.09961,15435.37012,14947.38965,15165.58984,15165.58984,3275325600
10/26/2022,15096.32031,15584.05957,15041.40039,15317.66992,15317.66992,2718640800
10/27/2022,15721.26953,15833.28027,15410.96973,15427.94043,15427.94043,2526173200
10/28/2022,15424.94043,15441.99023,14770.08984,14863.05957,14863.05957,3051258500
10/31/2022,14830.69043,15113.15039,14597.30957,14687.01953,14687.01953,4183641700
11/1/2022,14859.91992,15632.84961,14859.91992,15455.26953,15455.26953,3787359000
11/2/2022,15389.54981,15867.24023,15276.75977,15827.16992,15827.16992,2774638200
11/3/2022,15477.74023,15623.17969,15301.66992,15339.49023,15339.49023,2544805200
11/4/2022,15442.75977,16513.16016,15442.75977,16161.13965,16161.13965,3951121100
11/7/2022,16031.79004,16821.89063,15980.84961,16595.91016,16595.91016,3227830100
11/8/2022,16640.59961,16719.00977,16429.81055,16557.31055,16557.31055,2071208700
11/9/2022,16552.80078,16730.19922,16213.03027,16358.51953,16358.51953,3270965100
11/10/2022,16138.21973,16138.21973,15945.2002,16081.04004,16081.04004,2204747800
11/11/2022,17120.05078,17368.03906,16829,17325.66016,17325.66016,5112566000
11/14/2022,17999.25977,18011.64063,17518.88086,17619.71094,17619.71094,0
